序号,问题,SQL
84,26年Q1客户盈亏结果统计（盈利、亏损、持平的客户数量）,"with fin as
(
select pty_id,
       sum(coalesce(cash_in,0))+sum(coalesce(tran_in,0))+sum(coalesce(assign_in,0)) as aset_in,
       sum(coalesce(cash_out,0))+sum(coalesce(tran_out,0))+sum(coalesce(assign_out,0)) as aset_out
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
),
pft as
(
select a.pty_id,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)
       -coalesce(c.nm_tot_aset,0)-coalesce(c.fc_pur_aset,0)
       +coalesce(d.aset_out,0)-coalesce(d.aset_in,0) as aset_pft
from (select distinct pty_id from dws_cust_aset_d where data_dt='20260331') a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260101'
left join fin d on a.pty_id=d.pty_id
)
select case when aset_pft>0 then '盈利'
            when aset_pft<0 then '亏损'
            else '持平' end as pft_type,
       count(*) as cust_cnt
from pft
group by 1
order by 1;"
85,26年Q1发生大额现金转入（单日超50万）的客户及其Q1交易金额,"select a.pty_id,
       sum(coalesce(b.buy_amt,0))+sum(coalesce(b.sell_amt,0)) as tran_amt
from (select distinct pty_id
      from dws_cust_fin_d
      where data_dt between '20260101' and '20260331' and cash_in>500000) a
left join dwd_cust_tran_d b on a.pty_id=b.pty_id and b.data_dt between '20260101' and '20260331'
group by a.pty_id
order by tran_amt desc;"
86,26年Q1各月新增交易客户数（当月首次发生交易的客户）,"with first_tran as
(
select pty_id, min(data_dt) as first_dt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select substring(first_dt,1,6) as mon, count(*) as new_cust_cnt
from first_tran
group by 1
order by 1;"
87,各营业部高价值客户（20260331总资产大于100万）数量及占比,"select b.org_name,
       count(*) as cust_cnt,
       sum(case when coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)>1000000 then 1 else 0 end) as hv_cnt,
       round(sum(case when coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)>1000000 then 1 else 0 end)*100.0/count(*),2) as hv_pct
from ads_cust_info_d a
left join dim_branch b on a.org_id=b.org_id
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260331'
where a.data_dt='20260531'
group by b.org_name
having sum(case when coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)>1000000 then 1 else 0 end)>0
order by hv_cnt desc, b.org_name;"
88,20260331产品热度排名：按持仓总市值排名前20的产品及持有客户数,"select b.prdt_name, b.prdt_type_name,
       count(distinct a.pty_id) as holder_cnt,
       sum(a.mkt_val) as tot_val
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331'
group by b.prdt_name, b.prdt_type_name
order by tot_val desc nulls last
limit 20;"
89,交易激进客户识别：26年Q1买入金额与20260331总资产比值前10的客户,"with tran as
(
select pty_id, sum(buy_amt) as buy_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
),
aset as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d
where data_dt='20260331'
)
select a.pty_id, t.buy_amt, a.tot_aset,
       round(t.buy_amt/nullif(a.tot_aset,0),2) as turnover_ratio
from tran t
inner join aset a on t.pty_id=a.pty_id and a.tot_aset>0
order by turnover_ratio desc
limit 10;"
90,26年Q1各月客户总资产环比变化率（使用窗口函数）,"with m_aset as
(
select substring(data_dt,1,6) as mon,
       sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0)) as tot_aset
from dws_cust_aset_d
group by substring(data_dt,1,6)
)
select mon, round(tot_aset,2) as tot_aset,
       round((tot_aset-lag(tot_aset) over(order by mon))*100.0
             /nullif(lag(tot_aset) over(order by mon),0),2) as mom_pct
from m_aset
order by mon;"
91,26年Q1信用账户交易客户的画像分析（客户等级、人数、平均年龄、平均总资产）,"with fc_cust as
(
select distinct pty_id
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331' and sys_source='fc'
)
select c.describe as cust_lvl,
       count(*) as cust_cnt,
       round(avg(a.cust_age),1) as avg_age,
       round(avg(coalesce(d.nm_tot_aset,0)+coalesce(d.fc_pur_aset,0)),2) as avg_aset
from fc_cust f
inner join ads_cust_info_d a on f.pty_id=a.pty_id and a.data_dt='20260531'
left join dim_public c on a.cust_lvl_cd=c.code and c.code_type_id='100'
left join dws_cust_aset_d d on a.pty_id=d.pty_id and d.data_dt='20260331'
group by c.describe
order by cust_cnt desc;"
92,20260331持有港币资产客户的客户等级及平均年龄分布,"with hkd_cust as
(
select distinct pty_id
from dwd_cust_hold_d
where data_dt='20260331' and ccy='2'
)
select c.describe as cust_lvl,
       count(*) as cnt,
       round(avg(a.cust_age),1) as avg_age
from hkd_cust h
inner join ads_cust_info_d a on h.pty_id=a.pty_id and a.data_dt='20260531'
left join dim_public c on a.cust_lvl_cd=c.code and c.code_type_id='100'
group by c.describe
order by cnt desc, cust_lvl;"
93,26年Q1客户持仓产品数量变化分布（增加、减少、不变）,"with bgn as
(
select pty_id, count(distinct prdt_id) as prdt_cnt
from dwd_cust_hold_d where data_dt='20260101' group by pty_id
),
endd as
(
select pty_id, count(distinct prdt_id) as prdt_cnt
from dwd_cust_hold_d where data_dt='20260331' group by pty_id
)
select case when e.prdt_cnt>b.prdt_cnt then '增加'
            when e.prdt_cnt=b.prdt_cnt then '不变'
            else '减少' end as chg_type,
       count(*) as cnt
from bgn b
inner join endd e on b.pty_id=e.pty_id
group by 1
order by chg_type;"
94,20260331持有科创板与未持有科创板客户的平均总资产对比,"with kcb as
(
select distinct a.pty_id
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331' and b.prdt_type_name='科创板'
)
select case when k.pty_id is null then '未持有科创板' else '持有科创板' end as kcb_flag,
       count(*) as cust_cnt,
       round(avg(coalesce(t.nm_tot_aset,0)+coalesce(t.fc_pur_aset,0)),2) as avg_aset
from dws_cust_aset_d t
left join kcb k on t.pty_id=k.pty_id
where t.data_dt='20260331'
group by 1
order by kcb_flag;"
95,高净值客户（总资产大于100万）与普通客户的产品大类持仓偏好对比（20260331）,"with tot as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d where data_dt='20260331'
)
select case when t.tot_aset>1000000 then '高净值' else '普通' end as cust_grp,
       c.up_prdt_type_name,
       sum(h.mkt_val) as mkt_val
from dwd_cust_hold_d h
inner join tot t on h.pty_id=t.pty_id
inner join dim_product c on h.prdt_id=c.prdt_id
where h.data_dt='20260331'
group by 1,2
order by 1, mkt_val desc nulls last;"
96,26年Q1日均资产超过30万的客户中交易总额前10名,"with avg_aset as
(
select pty_id, sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0))/90 as avg_aset
from dws_cust_aset_d
group by pty_id
having sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0))/90>300000
),
tran as
(
select pty_id, sum(buy_amt)+sum(sell_amt) as tran_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select a.pty_id, round(a.avg_aset,2) as avg_aset, t.tran_amt
from avg_aset a
left join tran t on a.pty_id=t.pty_id
order by t.tran_amt desc nulls last
limit 10;"
97,客户综合价值排名：26年Q1佣金贡献排名与日均资产排名之和最小的前20客户,"with rake as
(
select pty_id, sum(coalesce(buy_rake,0))+sum(coalesce(sell_rake,0)) as tot_rake
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
),
aset as
(
select pty_id, sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0))/90 as avg_aset
from dws_cust_aset_d
group by pty_id
),
score as
(
select coalesce(a.pty_id,r.pty_id) as pty_id,
       coalesce(r.tot_rake,0) as tot_rake,
       coalesce(a.avg_aset,0) as avg_aset,
       rank() over(order by coalesce(r.tot_rake,0) desc) as rake_rank,
       rank() over(order by coalesce(a.avg_aset,0) desc) as aset_rank
from aset a
full join rake r on a.pty_id=r.pty_id
)
select pty_id, tot_rake, round(avg_aset,2) as avg_aset, rake_rank, aset_rank,
       rake_rank+aset_rank as total_rank
from score
order by total_rank, pty_id
limit 20;"
